tx_hash,indegree,outdegree,in_btc,out_btc,total_btc,mean_in_btc,mean_out_btc,in_malicious,out_malicious,is_malicious,out_and_tx_malicious,all_malicious
cf4aecd27c5ae0ec062ea2b165b09f076a8e1ae9a3f078b336fb7f76639d69d6,1,1,50.0,50.0,100.0,50.0,50.0,0,0,0,0,0
c72c2c6d3f4f7a2ba5f48e266321b2927a38eb07e87038f65aa80421889a6a00,1,1,50.0,50.0,100.0,50.0,50.0,0,0,0,0,0
c6e0f8b4208019b532e3556bd6682fe0fb0d544a2699fc6407e2cc1e4da231b0,1,2,2.7,2.7,5.4,2.7,1.35,0,0,0,0,0
504b9615bd21e35b00c60292a778fb328b55877abc1079e5d72601247dd9fa4b,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
ec67d3952742c3a12d93fe0fa9850456e6f936af65f0313de67b1b18b14280e6,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
018908ec7f6706bb7bded5d648c31cea1df1bb6483fe2b6cc875063cf1939511,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
2f87156f824f3110481828d8d5aa4107ca0d67e49535d665df58c091e3dc338b,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
de3ad3702e50f4f06295ebceb41fed605c96f920bd8b220c0b58e036e9f19812,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
a3224999be6f55e4e27e557d6827b732d3236c7601b25f73f55056c2569d6d0d,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
3f286946ff20b7a399fbd299c9413effda92a3223195e23d5aae3670d412dbcf,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
d3af44fde92c524eda789355fa9a710751baf50b1cac3782fed9538145a421ba,1,1,10000.0,10000.0,20000.0,10000.0,10000.0,0,0,0,0,0
a478143301fbed9b6dccaed895442bb4f62a7b74b7a0673a998884ca473597ad,1,2,31.49,31.49,62.98,31.49,15.745,0,0,0,0,0
91d5e4144af485597698161455a3ab934df97d1ba68133b895ab48f49e29de82,1,1,0.65,0.6,1.25,0.65,0.6,0,0,0,0,0
54ac55b4c81973b525430b75d1e44d6cecc2f4414eeed13021ba51e00d98da4a,1,1,50.0,50.0,100.0,50.0,50.0,0,0,0,0,0
c6e95423d9ab7f9e0f3c3c73f39a52c096e44b2aab3a37c924f92bae1df7ff7e,1,0,150.0,0.0,150.0,150.0,0.0,0,0,0,0,0
4a4b0ed4e1731c91651315008cfa900a9a0ac007b9374a79d9db5cc5dde895b3,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
a8ff28ef2fd04dad409b09bd0c2f8ae81897865ec4038c05bdaf5394d6a2ff4d,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
bcaddeb0c9f9172bbcae22e1465c068bfe1406e6382bbe8eac7a37c114d5eb93,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
dad72ef1493fcca94193cac3e2c2756c39d56af054b7d885af3dc6f08ee97865,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
180884a889d16774a8d4166f13a204013a4d0eb568291c7e4770395c54d95f4c,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
af26abe933c98317d4fb8c8caba3a4355260d3306bb8e1fbbf0ff2cc4242d41b,2,1,0.02,0.02,0.04,0.01,0.02,0,0,0,0,0
d58bb805b0e205ce070560bc4992b889738768f3f329578250a8e3df158a531b,1,1,1.0,1.0,2.0,1.0,1.0,0,0,0,0,0
984b08e78094e6fd7ce9400790d6af0dc0fb6d2eab21fbf4555cfd5bf622a2b3,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
43df717c6f394e0fe129d5a2f75e83233fb71e0d0cae7756c03c2c17b83c4741,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
c7f6a8b0c649da74f29ad81cff9ff1c7d44aab9110d185e90c9b4f02c4c93ac2,1,1,840.0,835.0,1675.0,840.0,835.0,0,0,0,0,0
0284c1456899d625bf9365d795cf254ee0649a7ce12436e0b6a4be0223fe6da5,1,1,1.02,0.96,1.98,1.02,0.96,0,0,0,0,0
aa6a27158da86425bcbf90dea73bb4c9898f850a09d1046579a308aafd5d92e7,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
412a7304a13fc8b8ef5579a45104c1dc1444d1d30f7e0b870591fa708dbf829c,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
cd2258f53ed09f261a3520f98f45fa566ddb9950ab0e34e50519f8f309d076d6,1,1,1.65,1.6,3.25,1.65,1.6,0,0,0,0,0
1d7a25de5f776c87eab4e73dd7f21facee47fdfe5b841302dfbb93d9932b639a,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
7e5357376f0f5cdfa723c772f21f3236412a9427f557c34fb9236e14d4592ccd,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
71af07c6753fa649cf4935760ff88b087ee4622680d2a014424ab89db9846880,2,1,100.0,100.0,200.0,50.0,100.0,0,0,0,0,0
26a4ddd8dcd587f1271f79ba0b995f694a5dc1ad14f3a005037c368549d38bde,0,1,0.0,50.0,50.0,0.0,50.0,0,0,0,0,0
62cc28bbb48b24923323c0905a4cae5fe7cb43bc6e3b969a354496de99f6a308,1,1,0.01,0.01,0.02,0.01,0.01,0,0,0,0,0
943172579a847bb52b581809d75fc06a3f89fe0361df3ddc9fdedd40ae00cd1d,1,2,90.16,90.16,180.32,90.16,45.08,0,0,0,0,0
6329f58a48e3365e29835b20b63642267f0b109aa34d97e18fd88647fce436bd,1,1,0.05,0.05,0.1,0.05,0.05,0,0,0,0,0
1f3e7afd1ef6892a00089efe068e10b804d417acecb58a9d33deaccf1ca4734b,1,2,48.67,48.67,97.34,48.67,24.335,0,0,0,0,0
4156ff3994b0580be0298ed3643195b6993c8b3d31ab56e01f7bc97feb2d7bd4,1,2,5.65,5.65,11.3,5.65,2.825,0,0,0,0,0
8694d735434191335fb98f0d2d337e374750ae44004617a05caec9915740fcf5,1,2,3.5500000000000003,3.55,7.1,3.5500000000000003,1.775,0,0,0,0,0
9a3629b12ec271c0986f89f4a2dc4428b91b8cd8d1cba4063dc5077722dcfd82,1,1,0.01,0.01,0.02,0.01,0.01,0,0,0,0,0
06a7b332658ba96beda3de8e5fdd510e965403502d7137871998c696602ae823,1,2,36.71,36.71,73.42,36.71,18.355,0,0,0,0,0
67927e5e47ab9c7fd202e424ca07ba94e230fea6e18c36d0f053ab551af97c1b,1,2,426.71,426.71,853.4200000000001,426.71,213.355,0,0,0,0,0
7ab4de65ef024dcf140c0989ffc979f3a51ec3c2e194f55c35f671953fb04288,1,1,2.0,2.0,4.0,2.0,2.0,0,0,0,0,0
4c37662e473fb02aeefa23574c4cee929b59abcd8241ec684666a03be208155e,1,1,1.0,1.0,2.0,1.0,1.0,0,0,0,0,0
a6d753948eacee12b1747003d2abae5b05ca5be732904a6956694a1b536c0bb2,1,2,12.12,12.12,24.24,12.12,6.06,0,0,0,0,0
74b0bc08848c8c39d825f86b8c5cef6c1857efb9ccacd69a95128e07feff5740,2,1,0.02,0.02,0.04,0.01,0.02,0,0,0,0,0
4e11db7bf6b2539309907f262136ad7393fd8f035b739bb66f9dbec802ebaf12,1,1,0.06,0.06,0.12,0.06,0.06,0,0,0,0,0
a3f3821a71fe9165a0a9b3a2c17dd4b17d96524ac3a5c72c316daf20e52e22a8,2,1,250.0,250.0,500.0,125.0,250.0,0,0,0,0,0
0e44e0f157669cbfbda5d79770f51bdebab5ded14def40c438f84bfb66523451,2,1,0.06,0.06,0.12,0.03,0.06,0,0,0,0,0
75c556138905c0abec182a8188c290653a68fd675617b396a817d8a5be960bed,1,2,37.92,37.92,75.84,37.92,18.96,0,0,0,0,0
70c309c04d8e358494981ef3c6e1ee2a795851884ca4d341c1a9c4fccb9862fa,1,2,675.0,675.0,1350.0,675.0,337.5,0,0,0,0,0
36f0a75ecc8d449abe52cf79a6cf2310ef008a7c52a70746227fcff806145fd4,1,1,0.3,0.3,0.6,0.3,0.3,0,0,0,0,0
