in_btc,out_btc,total_btc,mean_in_btc,mean_out_btc,in_malicious,out_malicious,is_malicious,out_and_tx_malicious,all_malicious,vin_sz,vout_sz,size,fee,time,sat_per_byte
50.0,50.0,100.0,50.0,50.0,0,0,0,0,0,1,1,159,0,1277800165,0.0
50.0,50.0,100.0,50.0,50.0,0,0,0,0,0,1,1,224,0,1289311198,0.0
2.7,2.7,5.4,2.7,1.35,0,0,0,0,0,1,2,258,0,1271613446,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,134,0,1264625653,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,134,0,1262161248,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,135,0,1241439104,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,135,0,1271000655,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,135,0,1264598202,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,134,0,1262158044,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,134,0,1287071724,0.0
10000.0,10000.0,20000.0,10000.0,10000.0,0,0,0,0,0,1,1,224,0,1287272613,0.0
31.49,31.49,62.98,31.49,15.745,0,0,0,0,0,1,2,258,0,1271619803,0.0
0.65,0.6,1.25,0.65,0.6,0,0,0,0,0,1,2,257,0,1279223589,0.0
50.0,50.0,100.0,50.0,50.0,0,0,0,0,0,1,1,158,0,1269737152,0.0
150.0,0.0,150.0,150.0,0.0,0,0,0,0,0,1,1,225,0,1277244198,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,135,0,1277835399,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,134,0,1265671782,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,135,0,1263367040,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,134,0,1262203430,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,134,0,1287828091,0.0
0.02,0.02,0.04,0.01,0.02,0,0,0,0,0,2,1,403,0,1285211098,0.0
1.0,1.0,2.0,1.0,1.0,0,0,0,0,0,1,1,223,0,1280635069,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,135,0,1265525102,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,136,0,1281976267,0.0
840.0,835.0,1675.0,840.0,835.0,0,0,0,0,0,1,2,259,0,1279059054,0.0
1.02,0.96,1.98,1.02,0.96,0,0,0,0,0,1,2,257,1000000,1280224730,3891.0505836575876
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,135,0,1278974911,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,134,0,1280028679,0.0
1.65,1.6,3.25,1.65,1.6,0,0,0,0,0,1,2,258,0,1279124678,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,135,0,1277955038,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,134,0,1265321561,0.0
100.0,100.0,200.0,50.0,100.0,0,0,0,0,0,2,1,271,0,1283756978,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,135,0,1269468079,0.0
0.01,0.01,0.02,0.01,0.01,0,0,0,0,0,1,1,223,0,1290199475,0.0
90.16,90.16,180.32,90.16,45.08,0,0,0,0,0,1,2,257,0,1294515376,0.0
0.05,0.05,0.1,0.05,0.05,0,0,0,0,0,1,1,223,0,1290164618,0.0
48.67,48.67,97.34,48.67,24.335,0,0,0,0,0,1,2,259,0,1294603739,0.0
5.65,5.65,11.3,5.65,2.825,0,0,0,0,0,1,2,259,0,1291540298,0.0
3.5500000000000003,3.55,7.1,3.5500000000000003,1.775,0,0,0,0,0,1,2,258,0,1295207183,0.0
0.01,0.01,0.02,0.01,0.01,0,0,0,0,0,1,1,223,0,1290321218,0.0
36.71,36.71,73.42,36.71,18.355,0,0,0,0,0,1,2,258,0,1294563942,0.0
426.71,426.71,853.4200000000001,426.71,213.355,0,0,0,0,0,1,2,259,0,1292072906,0.0
2.0,2.0,4.0,2.0,2.0,0,0,0,0,0,1,1,224,0,1290707179,0.0
1.0,1.0,2.0,1.0,1.0,0,0,0,0,0,1,1,224,0,1290707631,0.0
12.12,12.12,24.24,12.12,6.06,0,0,0,0,0,1,2,257,0,1294590567,0.0
0.02,0.02,0.04,0.01,0.02,0,0,0,0,0,2,1,404,0,1290663587,0.0
0.06,0.06,0.12,0.06,0.06,0,0,0,0,0,1,1,224,0,1290120044,0.0
250.0,250.0,500.0,125.0,250.0,0,0,0,0,0,2,1,406,0,1290349048,0.0
0.06,0.06,0.12,0.03,0.06,0,0,0,0,0,2,1,405,0,1295333531,0.0
37.92,37.92,75.84,37.92,18.96,0,0,0,0,0,1,2,258,0,1289846730,0.0
675.0,675.0,1350.0,675.0,337.5,0,0,0,0,0,1,2,258,0,1289866660,0.0
0.3,0.3,0.6,0.3,0.3,0,0,0,0,0,1,1,224,0,1290681692,0.0
281.36,281.36,562.72,281.36,140.68,0,0,0,0,0,1,2,258,0,1293289998,0.0
0.01,0.01,0.02,0.01,0.01,0,0,0,0,0,1,1,225,0,1295025670,0.0
0.01,0.01,0.02,0.01,0.01,0,0,0,0,0,1,1,225,0,1289866716,0.0
16.12,16.12,32.24,16.12,8.06,0,0,0,0,0,1,2,258,0,1290782416,0.0
0.05,0.05,0.1,0.05,0.05,0,0,0,0,0,1,1,225,0,1290156112,0.0
0.3,0.3,0.6,0.3,0.3,0,0,0,0,0,1,1,224,0,1290705492,0.0
50.0,50.0,100.0,50.0,50.0,0,0,0,0,0,1,1,224,0,1289919744,0.0
46.83,46.83,93.66,46.83,23.415,0,0,0,0,0,1,2,257,0,1295646704,0.0
0.85,0.8500000000000001,1.7000000000000002,0.85,0.425,0,0,0,0,0,1,2,257,0,1295692932,0.0
35.17,35.17,70.34,35.17,17.585,0,0,0,0,0,1,2,258,0,1295521837,0.0
0.01,0.01,0.02,0.01,0.01,0,0,0,0,0,1,1,224,0,1290230901,0.0
0.01,0.01,0.02,0.01,0.01,0,0,0,0,0,1,1,224,0,1290257020,0.0
0.01,0.01,0.02,0.01,0.01,0,0,0,0,0,1,1,225,0,1294852607,0.0
0.06,0.06,0.12,0.06,0.06,0,0,0,0,0,1,1,225,0,1290120696,0.0
50.0,50.0,100.0,50.0,25.0,0,0,0,0,0,1,2,192,0,1297804439,0.0
89.49,89.49000000000001,178.98000000000002,89.49,44.745000000000005,0,0,0,0,0,1,2,258,0,1302286883,0.0
49.66,49.5,99.16,49.66,49.5,0,0,0,0,0,1,2,258,0,1297483285,0.0
0.01,0.01,0.02,0.01,0.01,0,0,0,0,0,1,1,224,0,1300025212,0.0
7.42049414,7.420494140000001,14.84098828,3.71024707,3.71024707,0,0,0,0,0,2,2,438,0,1299114655,0.0
0.01,0.01,0.02,0.01,0.01,0,0,0,0,0,1,1,225,0,1299942607,0.0
199.0,198.95,397.9500000000001,199.0,198.95,0,0,0,0,0,1,2,257,0,1298484086,0.0
2.7,2.41,5.11,2.7,2.41,0,0,0,0,0,1,2,259,0,1300012514,0.0
6.9975000000000005,6.9375,13.935,6.9975000000000005,6.9375,0,0,0,0,0,1,2,258,1000000,1299170090,3875.968992248062
20.0,20.0,40.0,20.0,20.0,0,0,0,0,0,1,1,223,0,1298997629,0.0
1.25,1.25,2.5,1.25,0.625,0,0,0,0,0,1,2,259,0,1298881853,0.0
0.01,0.01,0.02,0.01,0.01,0,0,0,0,0,1,1,225,0,1300024702,0.0
50.0,50.0,100.0,50.0,50.0,0,0,0,0,0,1,1,157,0,1298780487,0.0
124.13,124.08,248.21,124.13,124.08,0,0,0,0,0,1,2,258,0,1297371030,0.0
3.3000000000000003,3.25,6.550000000000001,3.3000000000000003,3.25,0,0,0,0,0,1,2,257,0,1297511564,0.0
956.13,956.13,1912.26,956.13,478.065,0,0,0,0,0,1,2,257,0,1300311113,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,134,0,1296103770,0.0
10.0,10.0,20.0,10.0,5.0,0,0,0,0,0,1,2,258,0,1296256052,0.0
92.05,92.05,184.1,92.05,46.025,0,0,0,0,0,1,2,257,0,1298785223,0.0
13.65,13.59,27.24,13.65,13.59,0,0,0,0,0,1,2,258,1000000,1299530681,3875.968992248062
0.04,0.04,0.08,0.04,0.02,0,0,0,0,0,1,2,258,0,1300218070,0.0
21.98,21.97,43.95,21.98,10.985,0,0,0,0,0,1,2,258,1000000,1296305724,3875.968992248062
27.59,27.59,55.18,27.59,13.795,0,0,0,0,0,1,2,258,0,1298951935,0.0
49.78,49.78,99.56,49.78,24.89,0,0,0,0,0,1,2,257,0,1297468937,0.0
50.0,50.0,100.0,50.0,50.0,0,0,0,0,0,1,1,158,0,1298941391,0.0
0.5,0.01,0.51,0.5,0.01,0,0,0,0,0,1,2,257,0,1297289041,0.0
300.0,300.0,600.0,300.0,150.0,0,0,0,0,0,1,2,258,0,1302680378,0.0
48.67,48.67,97.34,48.67,24.335,0,0,0,0,0,1,2,257,0,1300410364,0.0
23.73,23.730000000000004,47.46000000000001,23.73,11.865000000000002,0,0,0,0,0,1,2,258,0,1300356913,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,134,0,1297889711,0.0
